LNG	LAT	NETWORK
-96.654373571429	34.781343857143	dmx
-96.654373571429	34.781343857143	dmxcarcod
-92.114723718182	29.972784081818	dmx
-92.114723718182	29.972784081818	dmxcarcod
-76.168587235714	39.513400700000	dha
-76.168587235714	39.513400700000	dmx
-76.168587235714	39.513400700000	dmxcarcod
-79.420220825000	35.152486287500	dha
-79.420220825000	35.152486287500	dmx
-79.420220825000	35.152486287500	dmxcarcod
-88.546296360000	33.825329320000	dmx
-88.546296360000	33.825329320000	dmxcarcod
-98.473105404167	45.461849150000	dmx
-98.473105404167	45.461849150000	dmxcarcod
-112.839973000000	42.942971150000	dmxcarcod
-123.823705104000	46.977026056000	dha
-123.823705104000	46.977026056000	dmx
-123.823705104000	46.977026056000	dmxcarcod
-97.209947800000	38.926292300000	dmxcarcod
-99.717472885000	32.473977350000	dmx
-99.717472885000	32.473977350000	dmxcarcod
-99.760162866667	32.464769066667	dmx
-99.760162866667	32.464769066667	dmxcarcod
-99.766864562500	32.423563546875	dmx
-99.766864562500	32.423563546875	dmxcarcod
-99.763157729630	32.389515988889	dmx
-99.763157729630	32.389515988889	dmxcarcod
-76.307796475000	39.472993100000	dha
-76.307796475000	39.472993100000	dmx
-76.307796475000	39.472993100000	dmxcarcod
-75.120443645000	40.120514430000	dha
-75.120443645000	40.120514430000	dmx
-75.120443645000	40.120514430000	dmxcarcod
-90.031892325000	30.478658975000	dmx
-90.031892325000	30.478658975000	dmxcarcod
-74.502568540000	39.430685160000	dmx
-74.488399166667	39.474158233333	dmx
-76.996498000000	38.669634000000	dmxcarcod
-71.435297171429	42.478131234286	dmx
-118.186228133333	34.483533466667	dha
-118.186228133333	34.483533466667	dmx
-118.186228133333	34.483533466667	dmxcarcod
-84.689108680645	34.042013525806	dha
-84.689108680645	34.042013525806	dmx
-84.689108680645	34.042013525806	dmxcarcod
-84.582745910000	34.085173520000	dha
-84.582745910000	34.085173520000	dmx
-84.582745910000	34.085173520000	dmxcarcod
-96.660933476923	34.775133007692	dmx
-96.660933476923	34.775133007692	dmxcarcod
-84.931215680000	34.375732520000	dha
-84.931215680000	34.375732520000	dmx
-84.931215680000	34.375732520000	dmxcarcod
-86.928640600000	33.585064200000	dmx
-86.928640600000	33.585064200000	dmxcarcod
-84.349112500000	41.991042500000	dmx
-84.349112500000	41.991042500000	dmxcarcod
-88.002974976471	41.932997229412	dha
-88.002974976471	41.932997229412	dmx
-88.002974976471	41.932997229412	dmxcarcod
-96.841132576471	32.952062435294	dha
-96.841132576471	32.952062435294	dmx
-96.841132576471	32.952062435294	dmxcarcod
-83.423777825000	31.139687675000	dmxcarcod
-94.020567360000	41.615351740000	dmx
-94.020567360000	41.615351740000	dmxcarcod
-76.979879900000	38.993374730000	dha
-76.979879900000	38.993374730000	dmx
-76.979879900000	38.993374730000	dmxcarcod
-84.039842744737	41.904589226316	dmx
-84.039842744737	41.904589226316	dmxcarcod
-80.437563416667	36.005558450000	dha
-90.318554366667	38.550706600000	dmx
-110.932876757143	42.724098871429	dmx
-110.932876757143	42.724098871429	dmxcarcod
-118.760898415873	34.146876177778	dha
-118.760898415873	34.146876177778	dmx
-118.760898415873	34.146876177778	dmxcarcod
-67.149294000000	18.445398000000	dmx
-157.944003888525	21.385018500000	dmx
-157.944003888525	21.385018500000	dmxcarcod
-81.733959413043	33.562784256522	dmx
-81.733959413043	33.562784256522	dmxcarcod
-81.730026306667	33.513909033333	dmx
-81.730026306667	33.513909033333	dmxcarcod
-74.111325700000	41.117147500000	dmx
-74.086609128571	41.104487557143	dmxcarcod
-117.588725100000	47.646538133333	dmxcarcod
-93.707108520000	46.525025200000	dmxcarcod
-112.863077466667	32.374283566667	dha
-112.863077466667	32.374283566667	dmx
-112.863077466667	32.374283566667	dmxcarcod
-76.205224550000	40.156235050000	dha
-76.205224550000	40.156235050000	dmx
-76.205224550000	40.156235050000	dmxcarcod
-81.530768000000	41.082696760000	dmx
-81.530768000000	41.082696760000	dmxcarcod
-81.539081900000	41.095085000000	dmx
-81.539081900000	41.095085000000	dmxcarcod
-81.500484842857	41.078889542857	dmx
-81.500484842857	41.078889542857	dmxcarcod
-81.449789233333	41.077861833333	dmx
-81.449789233333	41.077861833333	dmxcarcod
-81.492345140000	41.045543980000	dmx
-81.492345140000	41.045543980000	dmxcarcod
-81.527775300000	41.077863400000	dmx
