ZIP3,STATE,POPULATION,AP,DENT,INN_AP,INN_DENT,FRAC_INN_AP,FRAC_INN_DENT,GP,PED,SURG,PERIO,ENDO,PROSTHO,PP_AP,PP_DENT,PP_GP,PP_PED,PP_SURG,PP_PERIO,PP_ENDO,PP_PROSTHO
041,ME,114497,286,240,60,47,0.209790,0.195833,44,0,1,0,4,1,400.339161,477.070833,2602.204545,999999.000000,114497.000000,999999.000000,28624.250000,114497.000000
042,ME,175899,116,102,26,25,0.224138,0.245098,24,0,1,0,2,0,1516.370690,1724.500000,7329.125000,999999.000000,175899.000000,999999.000000,87949.500000,999999.000000
043,ME,81170,114,100,34,32,0.298246,0.320000,31,0,1,0,2,0,712.017544,811.700000,2618.387097,999999.000000,81170.000000,999999.000000,40585.000000,999999.000000
044,ME,174322,161,144,6,6,0.037267,0.041667,6,0,1,0,1,0,1082.745342,1210.569444,29053.666667,999999.000000,174322.000000,999999.000000,174322.000000,999999.000000
045,ME,47876,33,32,8,8,0.242424,0.250000,6,0,0,0,0,0,1450.787879,1496.125000,7979.333333,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
046,ME,73040,54,44,18,14,0.333333,0.318182,14,0,0,0,0,0,1352.592593,1660.000000,5217.142857,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
047,ME,69229,50,43,14,13,0.280000,0.302326,11,0,1,0,0,0,1384.580000,1609.976744,6293.545455,999999.000000,69229.000000,999999.000000,999999.000000,999999.000000
048,ME,40296,43,41,8,8,0.186047,0.195122,8,0,1,0,1,0,937.116279,982.829268,5037.000000,999999.000000,40296.000000,999999.000000,40296.000000,999999.000000
049,ME,159183,117,105,29,25,0.247863,0.238095,24,0,1,0,1,1,1360.538462,1516.028571,6632.625000,999999.000000,159183.000000,999999.000000,159183.000000,159183.000000
050,VT,60371,42,37,0,0,0.000000,0.000000,0,0,0,0,0,0,1437.404762,1631.648649,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
051,VT,28604,18,17,0,0,0.000000,0.000000,0,0,0,0,0,0,1589.111111,1682.588235,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
052,VT,32685,40,36,3,3,0.075000,0.083333,3,0,0,0,0,0,817.125000,907.916667,10895.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
053,VT,36552,44,44,12,12,0.272727,0.272727,11,0,1,0,0,0,830.727273,830.727273,3322.909091,999999.000000,36552.000000,999999.000000,999999.000000,999999.000000
054,VT,239735,252,209,13,13,0.051587,0.062201,13,0,1,0,0,0,951.329365,1147.057416,18441.153846,999999.000000,239735.000000,999999.000000,999999.000000,999999.000000
056,VT,84928,83,71,6,6,0.072289,0.084507,6,0,0,0,0,0,1023.228916,1196.169014,14154.666667,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
057,VT,80305,84,76,13,13,0.154762,0.171053,12,0,2,0,0,0,956.011905,1056.644737,6692.083333,999999.000000,40152.500000,999999.000000,999999.000000,999999.000000
058,VT,58017,46,43,0,0,0.000000,0.000000,0,0,0,0,0,0,1261.239130,1349.232558,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
060,TN,675278,2309,1020,1476,419,0.639238,0.410784,360,11,24,13,9,6,292.454742,662.037255,1875.772222,61388.909091,28136.583333,51944.461538,75030.888889,112546.333333
061,CT,295662,860,630,438,316,0.509302,0.501587,277,10,18,10,9,5,343.793023,469.304762,1067.371841,29566.200000,16425.666667,29566.200000,32851.333333,59132.400000
062,CT,164831,137,121,22,22,0.160584,0.181818,13,0,6,0,0,0,1203.145985,1362.239669,12679.307692,999999.000000,27471.833333,999999.000000,999999.000000,999999.000000
063,CT,265268,462,377,203,182,0.439394,0.482759,153,6,13,6,8,4,574.173160,703.628647,1733.777778,44211.333333,20405.230769,44211.333333,33158.500000,66317.000000
064,CT,720316,1251,930,481,360,0.384492,0.387097,290,20,33,6,8,3,575.792166,774.533333,2483.848276,36015.800000,21827.757576,120052.666667,90039.500000,240105.333333
