LATITUDE,LONGITUDE,INN
37.2481988,-121.8026541,FALSE
37.2483428,-121.8466588,TRUE
37.24877,-121.83014,FALSE
37.2488131,-121.8302673,FALSE
37.2492072,-121.9159989,FALSE
37.2492282,-121.8459722,FALSE
37.2492684,-121.9560653,TRUE
37.2493068,-121.9559914,TRUE
37.2496597,-121.8792307,TRUE
37.2497513,-121.9557098,FALSE
37.2501057,-121.9555321,FALSE
37.250114,-121.8473177,TRUE
37.2502088,-121.9542581,FALSE
37.2502773,-121.8473209,TRUE
37.2506128,-121.8555049,FALSE
37.2506145,-121.8554964,FALSE
37.250747,-121.853548,TRUE
37.2507716,-121.9493108,FALSE
37.250793,-121.853666,TRUE
37.2508575,-121.9377238,FALSE
37.2511514,-121.8293904,TRUE
37.2511778,-121.9387561,FALSE
37.251325,-121.9485331,TRUE
37.2515114,-121.8793333,TRUE
37.2516201,-121.8668459,TRUE
37.2517894,-121.950263,TRUE
37.2517941,-121.8305508,TRUE
37.2518791,-121.9090554,TRUE
37.2519668,-121.8270276,FALSE
37.2521135,-121.9098865,FALSE
37.2521178,-121.9630291,FALSE
37.2524191,-121.8670683,FALSE
37.2524657,-121.8629545,FALSE
37.2525836,-121.8061249,FALSE
37.2528241,-121.9522437,FALSE
37.2530722,-121.9482887,FALSE
37.2532565,-121.9491775,FALSE
37.2532798,-121.8594188,TRUE
37.2536927,-121.9527325,FALSE
37.2538375,-121.7975475,FALSE
37.2542372,-122.0270401,FALSE
37.2548255,-121.864311,FALSE
37.2551042,-122.0437692,FALSE
37.2552864,-121.8006072,FALSE
37.2553367,-121.8279946,FALSE
37.255488,-121.963347,FALSE
37.2564174,-122.0354882,FALSE
37.256886,-121.7783557,FALSE
37.2568995,-121.8813569,FALSE
37.256909,-121.783574,TRUE
37.2570354,-122.0144166,FALSE
37.2570457,-121.7796245,FALSE
37.2572627,-121.779869,TRUE
37.2573125,-121.949114,FALSE
37.2573767,-121.9494219,FALSE
37.2574247,-121.9495077,FALSE
37.2575101,-121.9496663,TRUE
37.2575553,-121.949389,FALSE
37.2575889,-121.9493609,FALSE
37.2576245,-121.9493364,FALSE
37.2576937,-121.9491403,TRUE
37.257694,-121.949376,FALSE
37.2577255,-121.9492468,FALSE
37.2577505,-121.9492311,FALSE
37.2577716,-121.9492082,TRUE
37.2578891,-121.9481691,FALSE
37.2579858,-121.9477388,FALSE
37.2580089,-121.9478207,FALSE
37.2580138,-121.9478337,FALSE
37.258099,-121.9284226,FALSE
37.2581602,-121.9477092,FALSE
37.2581649,-121.9476851,FALSE
37.2581822,-121.9477098,FALSE
37.258214,-121.948628,FALSE
37.2583133,-121.9486955,FALSE
37.2583905,-122.0319359,FALSE
37.2584111,-121.9486116,FALSE
37.2584475,-121.9485885,FALSE
37.2584932,-121.9485681,FALSE
37.2585696,-121.8839663,FALSE
37.258626,-121.780379,FALSE
37.2587102,-122.0074214,FALSE
37.258783,-121.948622,FALSE
37.2588978,-122.0199014,FALSE
37.2589954,-121.9479776,FALSE
37.2590417,-121.9468222,FALSE
37.2592211,-121.8773363,FALSE
37.25959,-121.8088,FALSE
37.2597859,-122.0310478,FALSE
37.2598075,-122.0312254,FALSE
37.2600478,-121.9312572,FALSE
37.2603548,-121.8086188,FALSE
37.2606009,-121.8967049,FALSE
37.261408,-121.988338,FALSE
37.2614513,-121.8756066,TRUE
37.2619278,-121.966996,FALSE
37.2619451,-121.9704427,FALSE
37.261967,-121.9662407,FALSE
37.2620249,-121.9225789,FALSE
37.2620876,-121.9705283,TRUE
37.2620958,-121.9226582,TRUE
37.2623008,-121.9317783,TRUE
37.2625269,-121.9165545,TRUE
37.2627085,-122.0347556,FALSE
37.262744,-121.9702839,FALSE
37.2627564,-121.9696175,FALSE
37.262948,-121.9451,FALSE
37.263541,-121.8761201,TRUE
37.2637297,-121.9685067,TRUE
37.2648101,-121.8664679,FALSE
37.2650796,-121.9402449,FALSE
37.2654182,-122.0377972,FALSE
37.2664065,-121.9661074,FALSE
37.2666705,-121.907886,FALSE
