LATITUDE,LONGITUDE,INN
40.5772636,-73.9619047,FALSE
40.577269,-73.9528252,FALSE
40.5773649,-74.0014608,TRUE
40.5774969,-74.1632327,TRUE
40.577533,-73.958513,FALSE
40.5775368,-73.9688225,FALSE
40.5775515,-73.9562453,FALSE
40.5775538,-73.957029,FALSE
40.5776383,-73.8411587,FALSE
40.5776772,-73.9623639,TRUE
40.577688,-73.962351,FALSE
40.5777077,-73.9676214,TRUE
40.5778674,-73.9755649,TRUE
40.5779041,-73.8492784,FALSE
40.5779106,-73.9652337,TRUE
40.5779472,-73.9457408,FALSE
40.5780426,-73.9608486,FALSE
40.5781785,-73.9733314,FALSE
40.5782435,-73.9614455,FALSE
40.578244,-73.842684,TRUE
40.578281,-73.960619,FALSE
40.5783147,-73.9669212,TRUE
40.5784236,-73.9610781,FALSE
40.5784639,-73.952958,TRUE
40.578516,-73.956223,TRUE
40.5785397,-74.16895,TRUE
40.578587,-73.953468,FALSE
40.5786067,-73.9706652,FALSE
40.578732,-73.9561648,FALSE
40.5787897,-73.9519402,FALSE
40.5788073,-73.9588741,TRUE
40.5788395,-73.9714225,FALSE
40.5788859,-73.9535703,FALSE
40.5791091,-73.9535732,FALSE
40.5791411,-73.973219,TRUE
40.579486,-73.838812,FALSE
40.5796056,-73.9684479,FALSE
40.5796107,-73.9653485,FALSE
40.5796135,-73.9537196,TRUE
40.5796646,-73.9595284,FALSE
40.5797271,-73.9581967,TRUE
40.5798582,-73.9595284,TRUE
40.5799604,-74.1580695,FALSE
40.5800357,-73.8369274,TRUE
40.5801436,-73.8545319,FALSE
40.580259,-74.1008486,FALSE
40.5807949,-73.9644336,TRUE
40.5808677,-73.9523994,FALSE
40.5808798,-73.971496,FALSE
40.5808871,-73.9696678,TRUE
40.5808895,-73.9539147,FALSE
40.5809275,-73.9683512,TRUE
40.5810746,-73.970946,TRUE
40.5811995,-74.1647664,TRUE
40.581364,-73.9541214,TRUE
40.5813736,-73.9601827,TRUE
40.5815594,-73.9671295,FALSE
40.5816575,-74.16608,TRUE
40.5818367,-74.0981643,TRUE
40.5818367,-74.0981307,FALSE
40.5819196,-73.9576916,FALSE
40.581932,-73.9543051,FALSE
40.5819821,-73.8260085,TRUE
40.5820403,-73.9554831,FALSE
40.58224,-73.837817,FALSE
40.5823411,-73.8372657,TRUE
40.5825003,-74.0856573,FALSE
40.5825226,-73.837048,FALSE
40.58263,-73.82596,TRUE
40.582725,-74.0852242,FALSE
40.5829643,-74.1564985,FALSE
40.5832452,-73.9580471,FALSE
40.5834107,-73.9522586,TRUE
40.5835081,-73.9332726,FALSE
40.5835409,-74.1588149,TRUE
40.583628,-74.149626,FALSE
40.5837274,-73.9376314,FALSE
40.583865,-73.949116,TRUE
40.5842284,-73.9373828,FALSE
40.5843875,-74.0883675,TRUE
40.584549,-73.813508,FALSE
40.5846474,-73.9337398,TRUE
40.5846651,-73.9328363,TRUE
40.584666,-73.932827,TRUE
40.5847303,-73.9729426,FALSE
40.5847591,-74.0859766,FALSE
40.5850215,-74.1601222,FALSE
40.5851337,-74.0852765,FALSE
40.5851383,-74.1058041,FALSE
40.5852017,-74.0944246,TRUE
40.5852536,-74.1608172,FALSE
40.5852999,-73.961251,FALSE
40.5853505,-73.951194,TRUE
40.5854106,-73.9650892,FALSE
40.585418,-74.149132,TRUE
40.5854381,-73.9670533,FALSE
40.5854668,-73.9513317,FALSE
40.5854896,-73.9655812,FALSE
40.5855408,-73.8095453,TRUE
40.5855944,-73.9531822,FALSE
40.5856883,-73.9514102,FALSE
40.5857295,-74.1615874,TRUE
40.5859397,-73.9535015,TRUE
40.5859424,-73.9535011,TRUE
40.5860287,-73.9527667,TRUE
40.5860815,-74.0856911,FALSE
40.5862693,-73.9407123,FALSE
40.5862734,-73.9664158,TRUE
40.5863226,-73.9673689,TRUE
40.5863283,-73.9449372,FALSE
40.5863509,-73.9668867,TRUE
40.5864636,-73.9486109,FALSE
40.5865811,-73.9494375,FALSE
40.5866265,-74.0872203,TRUE
40.5870211,-73.8113461,FALSE
40.5870467,-73.8142154,TRUE
40.5870593,-73.953388,FALSE
40.5872711,-73.9585399,TRUE
40.5872807,-73.9531341,FALSE
40.5873292,-73.9622605,TRUE
40.5873682,-73.9495293,FALSE
40.5873939,-73.9529786,FALSE
40.5874097,-73.8035373,FALSE
40.587432,-73.950905,TRUE
40.5874734,-73.9577427,FALSE
40.5874948,-73.9558663,TRUE
40.5875271,-73.9599072,FALSE
40.5875664,-73.9595237,TRUE
40.5876552,-74.1093829,FALSE
40.5877859,-73.9530821,TRUE
40.5879092,-73.9537532,TRUE
40.5879459,-73.9516876,TRUE
40.5882678,-73.9532719,TRUE
40.588392,-73.9528243,FALSE
40.5884911,-73.9508266,TRUE
40.5886123,-73.9500459,TRUE
40.5886604,-73.9527667,TRUE
40.5887946,-73.9492232,TRUE
40.5888885,-73.9476535,FALSE
40.5890231,-73.9566125,TRUE
40.5890809,-73.9393951,TRUE
40.5890828,-73.9498163,TRUE
40.5892595,-73.9496572,FALSE
40.5892599,-73.9492927,TRUE
40.5894472,-73.9566699,FALSE
40.5895395,-73.9380602,TRUE
40.5897513,-73.9401612,TRUE
40.5898802,-74.0721226,FALSE
40.5899857,-73.9734068,TRUE
40.5899908,-73.957772,TRUE
40.5901228,-73.9679658,FALSE
40.590296,-73.796402,FALSE
40.590368,-73.965838,FALSE
40.5904276,-74.1649844,FALSE
40.5904525,-74.1323438,FALSE
40.5904585,-73.9725115,TRUE
40.5904819,-73.9687234,TRUE
40.5904837,-73.9898094,FALSE
40.590527,-74.156763,FALSE
40.5906401,-73.9732461,FALSE
40.5907243,-73.9372861,FALSE
40.5911069,-73.967208,FALSE
40.5912405,-74.0888815,FALSE
40.5912425,-73.9820627,FALSE
40.5913597,-73.9362946,FALSE
40.591436,-74.0981645,FALSE
40.5914819,-74.1085112,FALSE
40.5915051,-73.9463033,FALSE
40.591604,-73.9643613,FALSE
40.5917879,-73.9603433,TRUE
40.5917883,-73.9777817,TRUE
40.5919174,-73.9504354,FALSE
40.591942,-73.952916,FALSE
40.5919947,-73.9396101,FALSE
40.592019,-73.961405,FALSE
